Key Id,Tournament Id,tournament Name,Match Id,Match Name,Stage Name,Group Name,Group Stage,Knockout Stage,Replayed,Replay,Match Date,Match Time,Stadium Id,Stadium Name,City Name,Country Name,Home Team Id,Home Team Name,Home Team Code,Away Team Id,Away Team Name,Away Team Code,Score,Home Team Score,Away Team Score,Home Team Score Margin,Away Team Score Margin,Extra Time,Penalty Shootout,Score Penalties,Home Team Score Penalties,Away Team Score Penalties,Result,Home Team Win,Away Team Win,Draw
353,WC-1982,1982 FIFA World Cup,M-1982-45,France v Northern Ireland,second group stage,Group 4,0.0,0,0,0,07-04-1982,17:15,S-155,vicente calderón,  Madrid,Spain,T-28,france,FRA,T-50,Northern Ireland,,4 : 1,4,1,3,-3,0,0,0-0,0,0,H,1,0,0
690,WC-2006,2006 FIFA World Cup,M-2006-46,Ukraine v Tunisia  ,group stage,Group H,1,No,0,0,23/06/2006,16:00,S-053,Olympiastadion,berlin,Germany,T-78,ukraine,UKR,T-76,tunisia,TUN,10,1,0,1,-1,0,0,0-0,0,0,home team win,YES,0,0
486,WC-1994,1994 FIFA World Cup,M-1994-22,Saudi Arabia v Morocco,group stage,Group F,1,0,0,0,6/25/1994,,S-184,Giants Stadium,East Rutherford,United States,T-61,Saudi Arabia,SAU,T-45,Morocco,MAR,21,abc,1,1,-1,0,0,0-0,0,0,home team win,1,0,0
389,WC-1986,1986 FIFA World Cup,M-1986-29,Iraq v Mexico,group stage,Group B,1,0,0,0,1986/06/11,12:00,S-099,ESTADIO AZTECA,Mexico City,Mexico,T-37,Iraq,IRQ,T-44,Mexico,,01,0,1,-1,1,0,1,0-0,0,0,A,Yes,1,0
32,WC-1934,1934 FIFA World Cup,M-1934-14,Czechoslovakia v Germany,semi-finals,not applicable,0,1,0,0,6/3/1934,16:30,S-078,STADIO NAZIONALE PNF  ,ROME,Italy,T-20,Czechoslovakia,CSK,T-29,Germany,DEU,3 : 1,3,1,2,-2,0,0,0-0,0,0,H,1,0,0
443,WC-1990,1990 FIFA World Cup,M-1990-31,Brazil v Scotland,group stage,Group C,1,0,0,0,6/20/1990,21:00,S-082,STADIO DELLE ALPI,Turin  ,  Italy  ,T-09,Brazil,BRA,T-62,Scotland,SCO,10,1,0,1,-1,0,0,0-0,0,0,H,1,0,0
199,WC-1966,1966 FIFA World Cup,M-1966-31,Portugal v Soviet Union,third-place match,not applicable,0,1,0,0,7/28/1966,19:30,S-030,  Wembley Stadium  ,London,England,T-56,Portugal,PRT,T-70,Soviet Union,SUN,21,2,1,1,-1,0,0,0-0,0,0,home team win,NO,NO,0
426,WC-1990,1990 FIFA World Cup,M-1990-14,Cameroon v Romania,grp stage,Group B,1,0,0,0,19900614,17:00,S-068,STADIO SAN NICOLA,bari,Italy,T-11,Cameroon,CMR,T-59,Romania,ROU,21,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0
108,WC-1958,1958 FIFA World Cup,M-1958-07,Brazil v Austria,group stage,Group 4,1,0,0,0,06-08-1958,19:00,S-174,Rimnersvallen,Uddevalla,Sweden,T-09,Brazil,BRA,T-05,Austria,AUT,3x0,3,0,3,-3,0,False,0-0,0,0,Home Team Win,YES,0,0
715,WC-2010,2010 FIFA World Cup,M-2010-07,Serbia v Ghana,group stage,Group D,1,Yes,0,0,6/13/2010,16:00,S-135,Loftus Versfeld Stadium,Pretoria,South Africa,T-64,  Serbia  ,SRB,T-30,Ghana,GHA,01,abc,abc,-1,1,0,0,0-0,0,0,A,0,1,0
553,WC-1998,1998 FIFA World Cup,M-1998-37,France v Denmark,group stage,Group C,1,0,0,0,6/24/1998,16:00,S-041,Stade de Gerland,Lyon,France,T-28,France,FRA,T-21,Denmark,DNK,2 - 1,2,1,1,-1,0,0,0-0,0,0,Home Team Win,1,0,0
676,WC-2006,2006 FIFA World Cup,M-2006-32,Spain v Tunisia,Group Stage,Group H,1,0,0,0,6/19/2006,21:00,S-067,Neckarstadion,  Stuttgart  ,  Germany  ,T-71,SPAIN,ESP,T-76,Tunisia,TUN,31,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0
159,WC-1962,1962 FIFA World Cup,M-1962-23,Mexico v Czechoslovakia,GROUP STAGE,Group 3,1,0,0,0,6/7/1962,15:00,S-027,Estadio Sausalito,Viña del Mar  ,Chile,T-44,mexico,Mex,T-20,czechoslovakia,CSK,3x1,3,1,2,-2,0,0,0-0,0,0,home team win,0.0,0,0
476,WC-1994,1994 FIFA World Cup,M-1994-12,Germany v Spain,group stage,Group C,1,0,0,0,6/21/1994,15:00,S-182,  Soldier Field,Chicago,United States,T-29,germany,DEU,T-71,Spain,ESP,1 - 1,1,1,0,0,0,0,0-0,0,0,draw,0,0,1
424,WC-1990,1990 FIFA World Cup,M-1990-12,Uruguay v Spain,group stage,Group E,1,0,0,0,6/13/1990,17:00,S-083,Stadio Friuli,,Italy,T-81,Uruguay,URY,T-71,Spain,ESP,0 : 0,0,0,0,0,0,true,0-0,0,0,draw,0,0,1
,N/A,Unknown Tournament,M-????,  ??,,,N/A,,,,00/00/0000,abc,,Unknown,N/A,Unknown,,???,XX,,???,??,N/A,-99,-99,,,,,,,,???,,,
618,WC-2002,2002 FIFA World Cup,M-2002-38,Sweden v Argentina,GROUP STAGE,Group F,1,0,0,0,6/12/2002,15:30,S-087,Miyagi Stadium,Miyagi  ,Japan,T-72,Sweden,SWE,T-03,Argentina,ARG,1:1,1,1,0,1,0,0,0-0,0,0,draw,0,0,1
484,WC-1994,1994 FIFA WORLD CUP,M-1994-20,Sweden v Russia,group stage,Group B,1,0,0,0,6/24/1994,19:30,S-188,Pontiac Silverdome,PONTIAC,United States,T-72,Sweden,SWE,T-60,Russia,RUS,31,3,99,2,-2,false,0,0-0,0,0,home team win,1,0,0
865,WC-2018,2018 FIFA World Cup,M-2018-29,Germany v Sweden,group stage,Group F,1,0,0,0,6/23/2018,21:00,S-124,Fisht Olympic Stadium,Sochi,russia,T-29,Germany,DEU,T-72,Sweden,SWE  ,2-1,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0
651,WC-2006,2006 FIFA World Cup,M-2006-07,Mexico v Iran,group stage,Group D,1,0,0,0,11.06.2006,18:00,S-066,Frankenstadion,  Nuremberg  ,Germany,T-44,Mexico,MEX,T-36,Iran,IRN,31,3,1,2,-2,Yes,0,0-0,0,0,home team win,1,0,0
245,WC-1974,1974 FIFA World Cup,M-1974-13,Bulgaria v Uruguay,GROUP STAGE,Group 3,1,0,0,0,6/19/1974,19:30,S-061,Niedersachsenstadion,Hanover,Germany,T-10,Bulgaria,BGR,T-81,Uruguay,URY,11,1,1,0,0,True,0.0,0-0,0,0,draw,0.0,0,1.0
849,WC-2018,2018 Fifa World Cup,M-2018-13,Belgium v Panama,group stage,NULL,1,0,0,0,18-06-2018,18:00,S-124,  Fisht Olympic Stadium,  Sochi    ,Russia,T-06,Belgium,BEL,T-52,Panama,PAN,3-0,3,0,3,-3,0,0,0-0,0,0,home team win,false,0,0
639,WC-2002,2002 FIFA World Cup,M-2002-59,Spain v South Korea,quarter-finals,not applicable,0,1,0,0,2002/06/22,15:30,S-140,Gwangju World Cup Stadium,Gwangju,South Korea,T-71,Spain,ESP,T-69,South Korea,KOR,0 - 0,0,0,0,0,1,1,35,3,5,AWAY TEAM WIN,0,1,True
